variable,category,population_share,unweighted_share,weighted_share,unweighted_difference_pp,weighted_difference_pp
age_band,25-34,0.19966,0.25228975853455454,0.19966000003256357,5.262975853455454,3.2563562957221848e-09
age_band,35-44,0.1885,0.20399666944213155,0.18850000007903558,1.5496669442131545,7.903558363331342e-09
age_band,45-54,0.18074,0.16652789342214822,0.18074000002288987,-1.4212106577851795,2.288985667675547e-09
age_band,55-64,0.17218,0.15320566194837634,0.17218000001280773,-1.8974338051623656,1.2807727101105115e-09
age_band,65-74,0.13858,0.07160699417152373,0.13857999986997127,-6.697300582847627,-1.300287377770104e-08
age_band,18-24,0.12034,0.1523730224812656,0.12033999998273211,3.2033022481265605,-1.7267895446870796e-09
gender,Woman,0.49808,0.5020815986677769,0.5005850440208887,0.40015986677768844,0.2505044020888636
gender,Man,0.48212,0.47377185678601164,0.4740027935682691,-0.8348143213988357,-0.8117206431730917
gender,Non-binary / other,0.0198,0.02414654454621149,0.025412162410842203,0.434654454621149,0.5612162410842201
region,North,0.26644,0.2781015820149875,0.26644000001288104,1.1661582014987515,1.2881029576305991e-09
region,South,0.25168,0.25062447960033307,0.25167999999971935,-0.10555203996669427,-2.8066438062523957e-11
region,Midlands,0.21074,0.1948376353039134,0.21074000000364826,-1.5902364696086608,3.6482483700694956e-10
region,Scotland/Wales,0.13898,0.1273938384679434,0.13897999998954066,-1.1586161532056605,-1.0459327848266753e-09
region,London,0.13216,0.14904246461282264,0.13215999999421071,1.6882464612822639,-5.789285717483494e-10
education,No degree,0.57104,0.48126561199000834,0.5710400000000001,-8.977438800999165,1.1102230246251565e-14
education,Degree,0.42896,0.5187343880099917,0.42896,8.97743880099917,0.0
