person_id,age_band,gender,region,education,digital_engagement_score,wellbeing_0_10,service_support_0_10,response_propensity,responded,invited,weight
P00003,25-34,Man,London,No degree,85.8,5.0,6.0,0.2331,1,1,0.8795690476175343
P00023,35-44,Woman,London,Degree,76.0,5.8,9.1,0.3213,1,1,0.7073530874284455
P00033,18-24,Man,North,No degree,76.0,3.6,5.9,0.1419,1,1,0.873838109125281
P00056,35-44,Woman,North,No degree,84.5,7.0,5.8,0.2588,1,1,1.0352407333175977
P00152,55-64,Man,Scotland/Wales,No degree,51.9,7.6,4.2,0.1495,1,1,1.5769404300291507
P00195,25-34,Non-binary / other,North,No degree,43.3,4.3,3.6,0.0778,1,1,0.8623869631624932
P00259,45-54,Man,Midlands,Degree,68.1,5.0,6.0,0.2287,1,1,0.94702483247465
P00281,35-44,Man,London,Degree,80.9,3.0,3.6,0.2538,1,1,0.7073530874284455
P00291,35-44,Woman,London,Degree,75.3,7.5,6.4,0.3792,1,1,0.7073530874284455
P00297,25-34,Man,Midlands,Degree,83.0,7.0,8.8,0.3687,1,1,0.6929867282321883
P00374,65-74,Woman,North,No degree,41.2,8.3,5.5,0.1013,1,1,2.2698729274831586
P00495,25-34,Man,Midlands,No degree,81.6,4.4,5.9,0.1769,1,1,1.0344220533467472
P00524,55-64,Woman,South,Degree,57.6,7.8,6.4,0.2651,1,1,0.89065043049051
P00591,25-34,Woman,South,Degree,72.0,4.5,6.2,0.2311,1,1,0.6139071986888239
P00613,25-34,Woman,Scotland/Wales,Degree,83.6,8.5,7.0,0.4296,1,1,0.7281785438068972
P00635,45-54,Man,Scotland/Wales,Degree,63.8,6.4,5.4,0.2507,1,1,0.9951174176445505
P00727,25-34,Man,Scotland/Wales,No degree,73.9,2.6,5.8,0.1181,1,1,1.0869529152590018
P00740,18-24,Woman,London,Degree,92.2,6.7,6.5,0.4464,1,1,0.5970708691316284
P00843,55-64,Woman,North,Degree,75.0,6.1,7.8,0.2944,1,1,0.8381734213821421
P00898,18-24,Man,Scotland/Wales,Degree,91.2,7.5,9.9,0.4351,1,1,0.7378476125060859
P00914,35-44,Woman,South,Degree,82.7,6.0,7.4,0.3307,1,1,0.7369565702024881
P00927,35-44,Man,North,Degree,84.7,7.9,5.2,0.4126,1,1,0.6935351836258383
P00952,35-44,Woman,Scotland/Wales,Degree,60.5,7.4,6.0,0.2662,1,1,0.8741320565797465
P00982,45-54,Man,North,No degree,67.8,4.0,7.6,0.1264,1,1,1.178524546062652
P00994,25-34,Woman,Midlands,No degree,57.3,8.2,3.9,0.1805,1,1,1.0344220533467472
P01016,35-44,Woman,London,Degree,86.7,5.7,7.6,0.3759,1,1,0.7073530874284455
P01037,45-54,Man,South,Degree,83.6,8.6,8.9,0.4335,1,1,0.838955983293333
P01106,18-24,Woman,South,Degree,96.6,5.3,8.1,0.3814,1,1,0.6220589231931138
P01130,18-24,Man,North,Degree,97.7,5.5,9.9,0.3953,1,1,0.5854072912387358
P01133,45-54,Man,South,No degree,60.0,6.4,2.9,0.1498,1,1,1.252310521327989
P01192,25-34,Man,London,No degree,74.3,7.4,10.0,0.253,1,1,0.8795690476175343
P01231,35-44,Woman,North,No degree,71.0,5.3,4.7,0.1614,1,1,1.0352407333175977
P01276,45-54,Man,North,No degree,72.2,7.4,6.5,0.217,1,1,1.178524546062652
P01280,35-44,Man,South,No degree,72.1,5.7,5.8,0.174,1,1,1.1000558849386992
P01346,25-34,Man,South,Degree,71.9,6.4,6.7,0.289,1,1,0.6139071986888239
P01355,45-54,Woman,London,Degree,54.8,5.6,6.3,0.2161,1,1,0.8052551927667212
P01414,18-24,Woman,North,No degree,73.8,3.7,6.6,0.1374,1,1,0.873838109125281
P01451,35-44,Woman,Midlands,No degree,62.9,5.6,6.3,0.1425,1,1,1.2417579240060994
P01534,45-54,Woman,South,No degree,75.0,4.2,5.7,0.1508,1,1,1.252310521327989
P01539,55-64,Man,North,No degree,66.8,7.8,6.7,0.2061,1,1,1.2511423903002707
P01545,55-64,Woman,North,No degree,28.9,7.2,7.3,0.0867,1,1,1.2511423903002707
P01551,45-54,Woman,Midlands,No degree,68.9,7.9,5.1,0.2171,1,1,1.4136250116619258
P01615,25-34,Woman,North,No degree,88.2,4.3,6.4,0.1986,1,1,0.8623869631624932
