variable,category,invited,respondents,response_rate
age_band,25-34,1234,303,0.24554294975688817
age_band,55-64,1090,184,0.1688073394495413
age_band,35-44,1127,245,0.21739130434782608
age_band,18-24,727,183,0.2517193947730399
age_band,45-54,1043,200,0.19175455417066156
age_band,65-74,779,86,0.110397946084724
gender,Man,2886,569,0.19715869715869716
gender,Woman,2995,603,0.20133555926544242
gender,Non-binary / other,119,29,0.24369747899159663
region,London,812,179,0.2204433497536946
region,North,1648,334,0.20266990291262135
region,Midlands,1206,234,0.19402985074626866
region,Scotland/Wales,820,153,0.18658536585365854
region,South,1514,301,0.19881109643328929
education,No degree,3497,578,0.16528452959679726
education,Degree,2503,623,0.24890131841789853
