age_band,education,respondents,unweighted_mean,weighted_mean
18-24,Degree,96.0,7.061458333333333,7.079321803503623
18-24,No degree,87.0,6.681609195402297,6.672713867731851
25-34,Degree,144.0,6.888888888888889,6.893735897748949
25-34,No degree,159.0,6.58805031446541,6.584712798245892
35-44,Degree,140.0,7.014285714285714,7.0255504076712505
35-44,No degree,105.0,6.393333333333333,6.377076689163483
45-54,Degree,93.0,6.843010752688172,6.840985519239106
45-54,No degree,107.0,6.24392523364486,6.222858924299708
55-64,Degree,97.0,6.81340206185567,6.824627632950633
55-64,No degree,87.0,6.3183908045977,6.311737892707245
65-74,Degree,53.0,6.892452830188677,6.890297176747852
65-74,No degree,33.0,6.454545454545454,6.437060372688038
